เหตุผลของการย้ายถิ่น 2564,กรุงเทพมหานคร,กลาง,เหนือ,ตะวันออกเฉียงเหนือ,ใต้
กลับภูมิลำเนา," 2,031.69 "," 15,369.01 "," 31,706.07 "," 78,988.26 "," 24,152.27 "
ติดตามครอบครัว," 4,628.05 "," 33,976.30 "," 24,395.65 "," 27,694.31 "," 27,996.21 "
หางานทำ," 30,751.99 "," 47,436.38 "," 5,248.50 "," 4,504.13 "," 10,516.44 "
ย้ายที่อยู่อาศัย," 1,312.48 "," 44,906.28 "," 9,912.05 "," 19,393.41 "," 16,995.47 "
หน้าที่การงาน," 2,707.08 "," 32,480.95 "," 6,054.06 "," 6,765.76 "," 7,356.50 "
ต้องการเปลี่ยนงาน," 1,730.33 "," 15,663.86 "," 5,649.38 "," 4,948.58 "," 2,168.14 "
ศึกษาต่อ," 1,100.34 "," 2,375.47 "," 5,867.04 "," 4,304.29 "," 6,016.64 "
ขาดคนดูแล, 882.91 ," 4,102.48 "," 2,747.11 "," 2,846.64 "," 3,853.35 "
ช่วยธุรกิจในครอบครัว," 3,858.59 "," 1,939.94 "," 1,919.51 ", 418.99 , 133.30 
รักษาตัว,, 600.74 , 489.33 ," 4,791.63 ", 376.90 
ต้องการรายได้เพิ่มขึ้น,," 2,477.82 ", 420.87 , 116.89 , 353.66 
